编号,场景名,对应剧本,地点,时间,背景需求,角色,道具/食物,音乐/音效,演出要点,可复用性
S01,寂静客厅初登场,1月1日,客厅,午后/晴,大客厅、落地窗、午后自然光、沙发、茶几、墙钟、冰箱存在感、整体偏整洁宽敞略显冷清,我（男主，可无立绘，仅旁白+文本）,草莓蛋糕、蛋糕盒、塑料叉、手机,轻柔钢琴；冰箱低鸣、空调送风、挂钟滴答、叉子碰纸盘轻响；阳台方向巨响、落地窗震动声,重点表现安静、空、独居感；蛋糕特写建议做CG或食物插图；巨响处需要画面震动与节奏切换,高
S02,阳台坠落,1月2日,阳台,午后,阳台外景、白天强光、地面有倒下的绿植、玻璃门与客厅连通感,皖萱,倒下的盆栽、蛋糕盘,空灵/神秘短音色、肚子叫声、风声,建议做首次登场高规格演出；吃蛋糕瞬间可做眼睛高光增强与微发光,中高
S03,借宿协商,1月3日,客厅,午后延续,客厅同S01，茶几上残留蛋糕盒痕迹，沙发对谈构图,皖萱,空蛋糕盒、羽毛通讯器、沙发、茶几,轻松日常、略喜剧,建立荒唐感与治愈感并存的同居起点,高
S04,第一顿晚餐,1月4日,餐厅/厨房,傍晚,夕阳染色的餐桌、开放式厨房或厨房与餐厅切景、暖色晚霞光,皖萱,三文鱼排、奶油蘑菇汤、蒜香意面、番茄生菜小盘、平底锅、锅铲、餐盘,温暖木吉他；黄油融化、煎鱼滋啦声、餐具轻响,需要做饭过程与餐桌成果两段视觉,中高
S05,厨房共犯,2月1日,厨房,白天,明亮厨房、料理台、电饭锅、洗手池、食材摆台,皖萱,米饭、盐、海苔、金枪鱼罐头、蛋黄酱、玉子烧、味噌汤、腌黄瓜,日常轻快BGM、电饭锅保温嗡鸣、米饭团捏合声,建议有手把手教做饭、擦面粉等亲密演出资源,高
S06,外卖之夜,2月2日,客厅/玄关/餐桌,傍晚/小雨,雨天窗景版客厅、玄关开门构图、餐桌摆满外卖盒,皖萱,手机外卖界面、纸袋外卖、寿司、炸鸡、奶茶、外卖塑料盒,雨声、门铃、纸袋/塑料盒摩擦声,需要外卖UI与开箱视觉,中
S07,午后下午茶,2月3日,客厅,午后/晴,暖阳客厅、懒人沙发、茶几甜点盘、柔光与空气感,皖萱,焦糖布丁、黄油曲奇、茶杯/咖啡杯、靠枕、薄毯,慵懒轻爵士、杯碟轻响、风铃、时钟声,强调安静但不空；可做午睡表情差分,高
S08,深夜煮面,2月4日,厨房/餐桌,深夜,只开小灯的客厅与厨房、深夜室内暖光,皖萱,挂面、鸡蛋、小青菜、叉烧、汤碗,极轻钢琴/近乎无、水沸腾、切菜、面条入锅,情感突破场，‘因为是你陪我吃的’为高光台词,高
S09,雨夜便利店,2月5日,便利店内/店外长椅,夜/雨后,便利店夜景、货架、加热柜、店外长椅与地面反光,皖萱,牛奶、鸡蛋、吐司购物袋、关东煮、菠萝包、冰淇淋、塑料勺、纸杯,夜晚街道音、便利店门铃、加热柜咕嘟声、雨后微风,建议至少两张背景：店内与店外,中
S10,日常蒙太奇,2月6日,客厅/厨房/阳台,多时段,冰箱门特写、厨房整理、阳台浇花、工作陪伴、早餐/零食/购物袋若干片段,皖萱,冰箱便签、零食、多肉植物、购物袋、手机点单界面,按片段配置,适合做章节过场montage，不必做单一完整场景,高（偏过场资源）
S11,初夏夜宵,3月1日,客厅,深夜/初夏,夜色客厅、茶几临时餐桌、电视微亮、初夏夜风感,皖萱,乌冬面、香菇、火腿、溏心蛋、葱花,微妙电子氛围、深夜空调/风声、碗筷轻响,转折前最柔软的一夜,中高
S12,Yui 直播介入,3-2~3-3,客厅+电视直播UI,深夜,现实层：客厅夜景延续S11；屏幕层：粉白配色、霓虹电子感、舞台感直播间、弹幕UI、直播标题UI,皖萱、Yui,直播界面UI、弹幕滚动、电视屏幕滤镜、异常注视特效,电子氛围、直播环境声、UI切换音、异样静默点,Yui直视镜头时必须高规格演出,中
S13,直播后沉默,3月4日,客厅,深夜,电视熄灭后的昏暗客厅、小灯单点照明,皖萱,温水杯,无BGM或极低环境氛围,情绪低压、真相前夜,高
S14,阳台坦白,3月5日,阳台,凌晨,凌晨城市夜景、月光偏冷、风稍大、高处开放感,皖萱,栏杆、夜风、月光,空灵钢琴、风声、远处城市环境音,核心设定揭露场，需要冷、静、真诚,高
S15,召回通知,4月1日,客厅,傍晚/雷雨将至,天色压低的客厅、风吹窗帘、阳台风铃空响、雷雨前压迫感,皖萱,发光羽毛通讯器,低缓弦乐、风声增强、通知提示音、冷静机械播报音,客厅从日常切成危机场,中高
S16,最后的普通晚餐,4月2日,厨房/餐厅,傍晚到夜/下雨,厨房暖灯、窗外下雨、餐桌小而温暖,皖萱,饭团、味噌汤、玉子烧、米饭、海苔、金枪鱼蛋黄酱,近乎无BGM、雨声、开火、煮汤、鸡蛋滋声,最后一顿平常饭，情绪需克制,高
S17,选择前夜,4月3日,客厅/阳台门前,夜/雨声持续,雨夜客厅、阳台玻璃映出皖萱身影,皖萱,玩家选项UI（A留下；B回去）,雨声主导、BGM极弱,正式选择点，可加入回忆闪回演出,低
S18A,HE告白,5A-1,客厅,夜/雨声渐缓,延续雨夜客厅,皖萱,拉手动作、哭泣表情差分,压抑后缓慢抬升的温柔钢琴,分支A告白高光,中
S19A,羽翼消散,5A-2,阳台,夜/雨后,雨后阳台、月光、湿漉漉栏杆,皖萱,羽翼完整展开特效、羽翼碎裂粒子、光环崩散、倒入怀中动作,空灵转温暖、粒子消散、呼吸紊乱,全剧最高规格CG/特效场之一,中
S20A,HE尾声下午茶,5A-3,客厅,午后/晴,与第一幕呼应但更有生活感的客厅,皖萱,草莓蛋糕、茶几下午茶,温暖明亮,与第一幕呼应、已失去羽翼后的普通人状态,高
S18B,成全离别,5B-1,客厅,夜/雨未停,延续雨夜客厅,皖萱,拨碎发动作、克制告别演出,克制、空旷,分支B情绪压抑收束,中
S19B,羽翼归还升空,5B-2,阳台,夜,夜间阳台、云层开裂、月光与羽光交叠,皖萱,羽翼重新变亮、光环稳定、升空演出、远去成星点,空灵而温柔,与HE形成镜像的高潮演出,中
S20B,独居后的延续,5B-3,客厅,数周后/午后,同样的客厅，安静但不空,我（男主）,冰箱便签、草莓蛋糕,温柔、带一点余韵的钢琴,余韵收束，表现人走后生活被改变,高
