场景编号,场景名,背景提示词
S01,寂静客厅初登场,"日系美少女游戏背景，美术设定资料集风格的 2D 室内背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。现代公寓大客厅，中景构图，平视，适合作为 Galgame / AVG 角色对话场景背景，整体构图清晰稳定，画面中间与偏前区域留有较自然的角色站位空间。侧面大面积落地窗，午后晴天，暖金色自然阳光斜照进室内，空气感柔和，明暗分组明确，但不过度写实。浅色布艺沙发、木质低茶几、木地板、墙上时钟，后方可见开放式厨房与冰箱。房间整洁但带有自然生活痕迹，如马克杯、靠垫、杂志、绿植，让空间显得长期有人居住。整体色彩清爽温暖，氛围安静治愈，有日本视觉小说常见的生活系场景感。减少细碎装饰物和过多小摆件，前景不要过度拥挤，茶几不要太大太靠近镜头，沙发不要把画面右侧挤得过满，画面下方保持简洁自然，适合后期叠加对话框，但不要出现白边、空白条、雾状留白或人工 UI 面板。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感，避免房地产宣传照构图，避免过强广角，避免空旷样板房感。无人物，16:9"
S02,阳台坠落,"日系美少女游戏背景，美术设定资料集风格的 2D 阳台背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓相连的私人生活阳台，通过玻璃推拉门与同一客厅直接连接，中景构图，平视，整体构图清晰稳定，并能自然看到一部分熟悉的室内木地板与客厅边缘空间，让人一眼认出这是同一套房子的连续空间，但不要让沙发紧贴在阳台门旁边，也不要出现与 S01 不符的家具位置。午后强光，白天晴朗，暖金色阳光照在阳台地面与栏杆上，栏杆外是城市高层景观。阳台上有日常居住感的小盆栽与生活痕迹，地面有被撞倒的绿植花盆和散落泥土，带一点突发事件后的凌乱与不安，花盆翻倒要显得突然且意外。保持同一套生活系视觉小说背景氛围，但让事件痕迹成为焦点，不要让建筑结构喧宾夺主。不要公共走廊感，不要逃生通道感，不要墙上告示牌，不要文字，不要设备箱，不要园艺工具，不要像正在整理花草的场景。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室外渲染感，避免过强广角。无人物，16:9"
S10B,阳台浇花蒙太奇,"日系美少女游戏背景，美术设定资料集风格的 2D 阳台背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓相连的阳台空间，通过玻璃推拉门与客厅连接，中景构图，平视，整体构图清晰稳定。晴天白日，阳光清透，栏杆边摆着多肉与小盆栽，叶片上有少量水珠闪光，城市背景柔焦，生活细节温柔。整体安静、清爽、治愈，像同一套房子里的日常蒙太奇。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室外渲染感，避免过强广角。无人物，16:9"
S14,阳台坦白,"日系美少女游戏背景，美术设定资料集风格的 2D 阳台背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓相连的阳台空间，通过玻璃推拉门与客厅连接，中景构图，平视，整体构图清晰稳定。凌晨，月光偏冷，夜风明显，栏杆外是寂静城市夜景与稀疏灯火，空气清冷，高处感强，适合告白与秘密坦白。整体氛围安静、克制、带一点高空夜色的孤独感。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室外渲染感，避免过强广角。无人物，16:9"
S19A,HE羽翼消散阳台,"日系美少女游戏背景，美术设定资料集风格的 2D 阳台背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓相连的阳台空间，通过玻璃推拉门与客厅连接，中景构图，平视，整体构图清晰稳定。夜晚，雨后，栏杆和地面微湿反光，云层后有月光，空气澄净，适合神圣而痛苦的奇幻转折场面。整体要保持生活系阳台的真实基础，再叠加微妙的超现实神圣感。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室外渲染感，避免过强广角。无人物，16:9"
S19B,羽翼归还升空阳台,"日系美少女游戏背景，美术设定资料集风格的 2D 阳台背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓相连的阳台空间，通过玻璃推拉门与客厅连接，中景构图，平视，整体构图清晰稳定。夜晚，云层裂开，月光与神圣光感交织，天空显得辽阔而清澈，栏杆与湿润地面映出微光，适合离别升空的奇幻高潮。整体要在生活系阳台基础上加入明亮而克制的奇幻感，不要变成纯奇幻场景。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室外渲染感，避免过强广角。无人物，16:9"
S04,第一顿晚餐,"日系美少女游戏背景，美术设定资料集风格的 2D 餐厨区背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓内部相连的开放式厨房与餐厅，中景构图，平视，整体构图清晰稳定，适合作为 Galgame / AVG 角色对话场景背景。傍晚金色夕阳透窗照进来，暖光落在小餐桌与厨房台面上。木质餐桌上摆着家常但精致的晚餐，厨房区域整洁，有锅具、餐盘与自然生活痕迹，整体温暖治愈，像同一套房子里的晚餐时刻。减少细碎装饰物和过多小摆件，避免台面过度拥挤。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感，避免过强广角。无人物，16:9"
S05,厨房共犯,"日系美少女游戏背景，美术设定资料集风格的 2D 厨房背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓内部相连的开放式厨房区域，中景构图，平视，整体构图清晰稳定，适合作为 Galgame / AVG 角色对话场景背景。白天自然光照进明亮干净的现代家庭厨房，料理台宽敞，电饭锅、洗手池、基础食材与厨具整齐摆放，适合一起做饭的空间，温暖日常感明确。减少细碎装饰物和过多小摆件，避免台面过度拥挤。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感，避免过强广角。无人物，16:9"
S08,深夜煮面,"日系美少女游戏背景，美术设定资料集风格的 2D 厨房与小餐桌背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓内部相连的厨房与小餐桌空间，中景构图，平视，整体构图清晰稳定。深夜，只开一盏暖黄色小灯，其余区域昏暗安静，锅里冒着热气，台面上是简单夜宵食材，空间小而温暖，有熬夜后的安慰感。减少细碎装饰物和过多小摆件，避免台面过度拥挤。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感，避免过强广角。无人物，16:9"
S10A,冰箱便签蒙太奇,"日系美少女游戏背景，美术设定资料集风格的 2D 厨房一角背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓内部相连的厨房一角与冰箱区域，构图更偏特写，但仍保持背景插画感。冰箱门上贴着多张手写便签、小纸条和购物提醒，生活痕迹逐渐增多，光线温暖，日常感强，适合章节过场。保持同一套房子的生活延续感。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感。无人物，16:9"
S16,最后的普通晚餐,"日系美少女游戏背景，美术设定资料集风格的 2D 厨房与餐厅背景插画，明显是手绘 anime background art，而不是真实照片，线条干净，物体边缘明确，颜色柔和统一，以大色块概括为主，形体归纳清楚，材质表现进一步简化，减少微观纹理与零碎细节，阴影更平滑克制，带轻微赛璐璐动画背景的上色感与柔和空气透视。与 S01 相同公寓内部相连的开放式厨房与餐厅，中景构图，平视，整体构图清晰稳定。傍晚过渡到夜，窗外下雨，厨房暖灯亮着，小餐桌上摆着饭团、味噌汤、玉子烧，平凡、温柔、带着离别前的安静。整体像同一套房子里最后一次普通晚餐的气氛。减少细碎装饰物和过多小摆件，避免台面过度拥挤。避免照片写实感，避免电影镜头感，避免建筑效果图质感，避免 3D 室内渲染感，避免过强广角。无人物，16:9"
